"N BALLACHULISH ALLTSHELLACH HOUSE",,,,,,,,,,,,
Grid ref,NN056601,Long,-5.176107,Lat,56.692061,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,8.86,13.13,9.73,8.47,13.92,5.98,9.09,10.40,,
February,,1.65,1.27,11.98,6.31,7.96,5.73,8.42,7.35,4.42,,
March,,3.50,8.17,17.11,5.18,8.90,5.64,6.59,8.76,0.70,,
April,,5.18,3.20,3.12,10.13,3.26,3.72,3.64,2.34,4.77,,
May,,0.90,4.02,4.42,6.79,3.82,4.33,6.16,4.92,5.18,,
June,,6.48,1.30,2.56,4.24,3.07,1.69,6.37,5.11,1.33,,
July,,4.47,3.29,8.09,4.35,6.16,5.79,3.24,3.97,4.62,,
August,,4.92,3.66,9.76,7.79,6.75,6.29,8.20,7.30,5.93,,
September,,5.90,5.92,6.39,8.54,9.03,5.69,2.70,8.62,3.10,,
October,,8.39,7.01,13.47,5.00,4.96,9.68,4.01,2.30,10.92,,
November,,4.88,3.85,6.73,4.99,5.55,5.48,7.87,7.06,7.02,,
December,,8.50,8.23,5.68,9.29,6.88,8.77,9.03,9.12,6.65,,
Total,,,58.78,102.44,82.34,74.81,76.73,72.21,75.94,65.04,,
Calc annual,0.00,54.77,58.78,102.44,82.34,74.81,76.73,72.21,75.94,65.04,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
