"BROADBOTTOM HAREWOOD LODGE",,,,,,,,,,,,
Grid ref,SJ991938,Long,-2.015015,Lat,53.440972,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.10,2.10,3.10,2.48,2.90,1.95,3.76,1.27,2.12,1.53,,
February,3.49,1.53,1.09,2.96,3.37,1.78,3.00,1.93,2.93,2.36,,
March,1.06,2.89,1.99,4.11,2.08,4.25,2.47,2.78,3.04,2.42,,
April,2.53,2.48,2.21,1.84,2.17,2.77,2.53,1.71,2.18,2.53,,
May,1.40,0.95,2.81,2.28,2.89,0.81,3.89,3.67,2.56,1.75,,
June,4.53,1.58,1.66,1.32,0.97,3.00,1.66,5.53,2.09,2.74,,
July,3.46,2.70,2.31,3.35,1.47,2.02,2.61,2.91,4.29,5.59,,
August,5.65,1.79,2.81,3.96,4.09,4.11,3.12,3.87,3.47,3.08,,
September,1.41,0.75,1.16,4.37,1.27,2.67,1.38,0.71,4.19,2.75,,
October,4.03,3.25,4.87,7.31,1.32,3.28,5.47,4.43,0.96,4.88,,
November,2.42,5.14,1.40,3.64,2.85,2.90,3.31,2.40,2.74,1.41,,
December,4.46,6.09,2.50,1.30,2.66,0.62,3.30,2.55,2.81,6.49,,
Total,38.54,31.25,27.91,38.92,28.04,30.16,36.50,33.76,33.38,37.53,,
Calc annual,38.54,31.25,27.91,38.92,28.04,30.16,36.50,33.76,33.38,37.53,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
