"MASHAM MOOR HIGH SOUR MINE",,,,,,,,,,,,
Grid ref,SE143790,Long,-1.782262,Lat,54.206548,,,,,,,
Station no,3411,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.66,2.43,1.40,5.95,5.70,1.75,5.67,,,,,
February,5.82,1.93,1.72,5.29,5.96,2.47,2.54,,,,,
March,1.29,3.53,1.12,8.07,3.71,3.20,2.75,,,,,
April,2.27,2.53,1.69,2.14,3.86,3.62,0.66,,,,,
May,1.99,1.77,2.91,6.23,4.93,0.75,4.88,,,,,
June,3.11,1.78,1.90,3.03,1.83,1.77,1.50,,,,,
July,1.92,4.75,2.04,3.63,2.68,0.55,1.01,,,,,
August,7.75,1.85,2.50,4.39,4.34,4.94,2.64,,,,,
September,0.97,1.47,1.98,5.63,1.24,2.71,0.50,,,,,
October,5.58,1.45,4.46,11.83,1.33,2.25,8.66,,,,,
November,4.36,4.98,2.93,1.87,3.51,8.38,4.89,,,,,
December,4.21,4.10,4.55,4.66,2.46,1.59,2.51,,,,,
Total,43.93,32.57,29.20,62.72,41.55,33.98,38.21,,,,,
Calc annual,43.93,32.57,29.20,62.72,41.55,33.98,38.21,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,NaN,NaN,NaN,,
