"BOSTON LONDON ROAD",,,,,,,,,,,,
Grid ref,TF322424,Long,-0.033207,Lat,52.962679,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.32,0.57,0.80,1.36,1.57,0.81,2.44,0.78,0.97,,,
February,4.04,1.27,1.24,0.47,2.31,0.54,2.46,1.14,1.54,,,
March,0.38,1.50,0.90,2.81,1.47,1.62,1.76,1.46,2.17,,,
April,1.37,1.40,1.32,1.74,0.74,3.17,0.58,1.63,2.46,,,
May,1.23,1.49,3.04,3.26,1.32,1.35,1.24,3.08,1.70,,,
June,2.84,1.00,2.53,1.59,1.55,2.66,2.32,1.50,,,,
July,0.70,1.74,1.35,2.53,3.05,1.25,0.36,1.61,,,,
August,4.56,1.55,4.38,4.57,1.75,2.78,2.39,1.96,,,,
September,0.40,1.06,1.46,3.03,3.13,2.32,0.87,0.58,,,,
October,2.16,2.13,2.15,5.63,0.91,1.63,4.13,4.09,,,,
November,1.82,1.67,1.24,1.59,0.57,2.45,2.84,2.12,,,,
December,3.80,4.32,1.39,1.11,1.95,0.43,2.31,2.41,,,,
Total,26.62,19.70,21.80,29.69,20.32,21.01,23.70,22.36,,,,
Calc annual,26.62,19.70,21.80,29.69,20.32,21.01,23.70,22.36,8.84,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
