"NEWCASTLE & GATESHEAD W.W. GUNNERTON BURN, CAMPHILL",,,,,,,,,,,,
Grid ref,NY922764,Long,-2.123717,Lat,55.081984,,,,,,,
Station no,3576,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.08,2.53,1.62,5.45,1.51,0.72,3.22,1.01,1.94,1.73,,
February,5.52,2.96,1.64,4.53,2.19,1.04,1.14,1.40,1.60,2.70,,
March,2.30,2.58,3.36,2.65,1.14,2.09,1.46,1.40,3.15,3.43,,
April,2.29,1.44,1.56,1.18,2.17,4.10,1.22,2.25,1.67,2.95,,
May,2.08,2.55,2.82,1.67,2.58,0.94,3.38,3.74,2.44,1.63,,
June,4.93,1.77,2.15,2.20,1.38,0.90,1.73,4.47,0.40,2.01,,
July,1.84,2.37,3.37,4.98,1.85,0.95,2.03,1.09,2.99,2.46,,
August,5.81,3.30,3.00,3.35,2.46,3.36,4.83,2.76,2.10,2.50,,
September,1.41,1.17,1.28,3.96,1.11,2.04,0.95,0.71,3.24,2.12,,
October,6.43,3.24,2.99,7.65,0.78,2.22,5.29,5.97,2.71,3.69,,
November,5.34,4.82,1.45,1.67,2.31,4.04,4.10,1.78,1.50,0.68,,
December,3.92,3.48,4.56,2.44,1.99,1.17,1.33,2.95,1.40,3.66,,
Total,45.95,32.21,29.80,41.73,21.47,23.57,30.68,29.53,25.14,29.56,,
Calc annual,45.95,32.21,29.80,41.73,21.47,23.57,30.68,29.53,25.14,29.56,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
