"HARTLAND ABBEY",,,,,,,,,,,,
Grid ref,SS239251,Long,-4.511008,Lat,50.998275,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.01,2.47,2.16,5.16,5.16,1.60,6.13,1.84,1.90,1.78,,
February,6.88,1.67,1.25,2.32,5.22,1.49,4.71,1.63,2.60,0.45,,
March,1.59,2.48,3.00,5.54,1.87,4.12,1.67,0.88,3.35,3.38,,
April,1.77,3.66,1.63,1.80,1.75,2.92,1.29,5.42,1.86,2.18,,
May,1.75,0.76,1.84,1.95,3.05,0.12,3.47,3.08,1.55,1.33,,
June,4.29,3.77,3.71,1.59,1.12,1.47,1.32,3.01,0.81,1.45,,
July,1.16,1.53,3.12,3.41,4.10,2.07,1.55,1.60,2.71,2.34,,
August,2.41,3.50,2.62,5.38,3.06,3.64,2.32,2.70,3.77,2.16,,
September,2.01,2.66,3.04,3.54,3.37,1.67,1.11,1.03,1.78,2.07,,
October,5.23,3.96,3.63,11.43,3.48,1.94,5.12,5.71,2.09,6.45,,
November,6.00,1.48,4.51,3.09,3.23,5.32,3.17,3.27,2.13,1.78,,
December,5.61,6.57,2.70,4.43,3.23,1.32,3.23,5.37,4.28,5.35,,
Total,43.71,34.51,33.21,49.64,38.64,27.68,35.09,35.54,28.83,30.72,,
Calc annual,43.71,34.51,33.21,49.64,38.64,27.68,35.09,35.54,28.83,30.72,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
