"DOUGLAS WOODSIDE",,,,,,,,,,,,
Grid ref,SC378767,Long,-4.485691,Lat,54.160411,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.45,,,,,,,,,
February,,,3.90,,,,,,,,,
March,,,2.05,,,,,,,,,
April,,,2.03,,,,,,,,,
May,,,3.64,,,,,,,,,
June,,,2.00,,,,,,,,,
July,,,3.92,,,,,,,,,
August,,,3.79,,,,,,,,,
September,,,3.99,,,,,,,,,
October,,,4.92,,,,,,,,,
November,,,4.81,,,,,,,,,
December,,,5.00,,,,,,,,,
Total,,,42.50,,,,,,,,,
Calc annual,0.00,0.00,42.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
