"GOLSPIE DUNROBIN CASTLE",,,,,,,,,,,,
Grid ref,NC853008,Long,-3.941266,Lat,57.981607,,,,,,,
Station no,5800/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.50,3.20,2.25,4.00,1.20,3.20,3.00,3.20,3.00,3.10,,
February,1.25,3.00,1.80,3.10,4.00,3.50,6.00,3.10,4.70,1.54,,
March,2.65,2.20,2.40,2.20,1.40,4.10,2.30,1.70,4.00,3.11,,
April,3.10,2.30,2.00,2.65,5.50,1.60,2.00,1.85,2.10,3.30,,
May,1.65,2.50,2.85,1.60,1.80,1.10,3.60,2.10,2.00,1.85,,
June,2.22,2.50,2.00,1.15,1.60,0.70,0.50,4.60,1.80,2.00,,
July,5.37,2.90,3.70,5.50,0.80,1.50,3.15,1.25,1.60,1.50,,
August,3.10,2.18,1.20,4.00,2.50,3.50,3.25,3.70,1.30,1.40,,
September,2.50,1.50,1.80,2.40,2.15,2.20,1.80,0.90,3.55,1.40,,
October,3.00,3.75,1.50,5.00,1.70,3.66,2.30,1.80,0.65,3.80,,
November,4.40,3.20,0.90,4.70,2.50,4.15,8.20,2.20,3.15,3.20,,
December,5.30,3.90,4.00,1.40,2.65,1.60,2.50,2.65,1.55,2.20,,
Total,39.04,33.13,26.40,37.70,27.80,30.81,38.60,29.05,29.40,28.40,,
Calc annual,39.04,33.13,26.40,37.70,27.80,30.81,38.60,29.05,29.40,28.40,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
