"BOURNEMOUTH SOUTH CLIFF",,,,,,,,,,,,
Grid ref,SZ089907,Long,-1.875301,Lat,50.715863,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.22,1.89,4.29,0.99,6.45,0.71,0.72,1.08,,
February,,,1.52,1.82,4.20,0.65,2.76,1.00,1.09,0.41,,
March,,,2.46,2.91,1.39,4.24,1.16,0.46,2.77,3.80,,
April,,,1.13,2.50,1.12,1.47,0.84,3.01,2.25,1.14,,
May,,,1.88,2.96,2.63,0.49,2.59,1.46,1.40,1.19,,
June,,,3.14,2.37,0.82,2.75,1.20,1.32,0.61,3.66,,
July,,,1.79,3.23,2.08,0.58,1.27,1.31,1.20,1.74,,
August,,,4.38,3.12,2.55,2.53,0.47,1.36,2.08,2.46,,
September,,,1.53,2.01,2.11,1.75,0.81,0.57,2.78,3.02,,
October,,,1.87,8.16,2.79,1.52,6.51,8.31,1.78,6.50,,
November,,,2.96,1.85,1.19,4.44,3.89,2.37,0.91,1.12,,
December,,,1.76,2.43,3.67,0.70,1.97,3.15,3.67,3.95,,
Total,,26.82,25.64,35.25,28.84,22.11,29.92,25.03,21.26,30.07,,
Calc annual,0.00,0.00,25.64,35.25,28.84,22.11,29.92,25.03,21.26,30.07,,
Difference,NaN,26.82,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
