"PENISTONE GRAMMAR SCHOOL",,,,,,,,,,,,
Grid ref,SE243041,Long,-1.634860,Lat,53.532997,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.03,1.44,1.84,1.90,,
February,,,,,,,2.55,2.25,2.30,1.15,,
March,,,,,,,2.26,2.31,3.86,3.40,,
April,,,,,,,0.58,2.26,2.07,1.66,,
May,,,,,,,1.69,4.39,2.25,1.73,,
June,,,,,,,3.83,3.65,1.91,4.52,,
July,,,,,,,1.70,1.63,2.45,3.69,,
August,,,,,,,1.96,2.24,2.37,1.95,,
September,,,,,,,0.62,0.55,2.01,2.52,,
October,,,,,,,6.50,5.89,1.16,3.20,,
November,,,,,,,3.97,3.16,1.31,0.97,,
December,,,,,,,2.43,3.56,1.50,5.57,,
Total,,,,,,,32.12,33.33,25.03,32.26,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,32.12,33.33,25.03,32.26,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
