"GAYTON PUMPING STATION",,,,,,,,,,,,
Grid ref,TF900206,Long,0.813678,Lat,52.749608,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.16,1.04,0.80,0.85,,
February,,,,,,,2.33,1.45,1.75,0.48,,
March,,,,,,,1.72,1.18,2.24,2.89,,
April,,,,,,,0.84,2.66,2.94,1.29,,
May,,,,,,,1.25,2.83,1.55,1.23,,
June,,,,,,,2.98,2.19,0.90,4.17,,
July,,,,,,,0.38,2.14,2.64,4.29,,
August,,,,,,,3.08,1.90,2.41,2.81,,
September,,,,,,,1.19,0.58,1.89,1.29,,
October,,,,,,,5.41,2.52,1.11,3.84,,
November,,,,,,,3.67,2.84,1.14,1.08,,
December,,,,,,,2.41,2.70,1.27,4.59,,
Total,,,,,,,30.42,24.03,20.64,28.81,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,30.42,24.03,20.64,28.81,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
