"LONDONDERRY THE ASYLUM",,,,,,,,,,,,
Grid ref,IC4379018291,Long,-7.316239,Lat,55.010338,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.36,3.46,2.87,,,,,,,,,
February,2.78,1.97,1.33,,,,,,,,,
March,1.15,3.64,1.83,,,,,,,,,
April,2.52,2.88,1.86,,,,,,,,,
May,2.89,1.40,3.61,,,,,,,,,
June,4.17,3.42,1.18,,,,,,,,,
July,3.14,1.26,3.04,,,,,,,,,
August,4.18,5.55,2.90,,,,,,,,,
September,3.25,3.01,3.04,,,,,,,,,
October,5.59,3.24,2.41,,,,,,,,,
November,4.98,4.38,2.61,,,,,,,,,
December,6.11,4.20,3.68,,,,,,,,,
Total,45.12,38.41,30.36,,,,,,,,,
Calc annual,45.12,38.41,30.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
