"AUCHENCAIRN, TORR HOUSE",,,,,,,,,,,,
Grid ref,NX800527,Long,-3.870755,Lat,54.854661,,,,,,,
Station no,5021,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.28,3.89,3.23,5.84,3.11,1.59,6.44,2.67,5.35,4.08,,
February,4.53,1.47,2.26,3.60,2.94,2.90,3.65,4.08,4.24,2.55,,
March,0.40,2.59,2.94,8.77,3.52,3.79,3.06,5.11,4.68,4.63,,
April,3.30,2.91,1.66,1.97,3.26,3.94,1.01,3.32,2.36,4.33,,
May,3.64,1.28,2.52,3.46,3.20,3.09,6.33,4.48,3.36,3.32,,
June,4.71,3.67,1.85,3.14,1.69,2.58,1.79,7.84,2.82,2.97,,
July,3.58,4.56,3.67,5.04,3.10,0.84,3.18,3.33,3.96,6.39,,
August,7.11,5.05,3.43,6.10,6.14,5.62,6.76,6.23,5.30,2.35,,
September,3.22,2.77,2.97,4.32,3.99,2.06,1.56,1.52,5.56,3.64,,
October,5.64,5.67,3.75,11.02,3.02,3.38,6.84,8.35,2.36,11.65,,
November,6.00,4.97,4.57,3.87,4.05,4.35,4.33,4.62,3.26,2.07,,
December,7.20,5.45,4.69,4.27,3.60,3.46,4.20,6.92,4.83,8.64,,
Total,54.61,44.28,37.54,61.40,41.62,37.60,49.15,58.47,48.08,56.62,,
Calc annual,54.61,44.28,37.54,61.40,41.62,37.60,49.15,58.47,48.08,56.62,,
Difference,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,,
