"GLEN DESSARY",,,,,,,,,,,,
Grid ref,NM967926,Long,-5.347102,Lat,56.979742,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,14.03,14.41,15.10,13.60,12.73,12.00,,
February,,,,,8.19,14.79,6.82,6.39,11.82,9.78,,
March,,,,,7.92,10.47,8.62,9.90,11.18,1.26,,
April,,,,,16.40,5.29,5.86,4.76,3.96,6.06,,
May,,,,,7.83,5.78,5.63,6.62,4.81,6.24,,
June,,,,,6.75,4.43,2.22,8.80,5.94,1.60,,
July,,,,,4.55,,9.76,3.70,4.18,9.03,,
August,,,,,9.63,-999.00,10.01,12.39,5.60,8.22,,
September,,,,,10.31,10.91,7.19,3.95,11.84,3.01,,
October,,,,,10.67,10.81,10.51,5.01,2.28,15.83,,
November,,,,,8.75,9.20,10.63,10.71,9.64,10.31,,
December,,,,,13.58,12.55,12.66,12.27,13.21,9.84,,
Total,,,,,118.61,113.64,105.01,98.10,97.19,93.18,,
Calc annual,0.00,0.00,0.00,0.00,118.61,98.64,105.01,98.10,97.19,93.18,,
Difference,NaN,NaN,NaN,NaN,0.00,15.00,0.00,-0.00,0.00,0.00,,
