"SAFFRON WALDEN (MARKET PLACE)",,,,,,,,,,,,
Grid ref,TL538385,Long,0.240171,Lat,52.023601,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.94,0.52,0.57,2.05,2.02,1.29,3.11,1.05,1.00,0.92,,
February,3.55,1.05,0.98,0.61,3.04,1.11,2.24,1.21,1.13,0.47,,
March,0.85,2.13,1.16,2.27,1.35,2.26,1.74,0.83,2.20,3.48,,
April,0.79,2.06,0.71,1.86,0.75,1.77,0.76,3.25,3.20,1.69,,
May,1.46,3.09,3.25,3.36,1.62,0.96,1.09,3.24,0.91,1.20,,
June,2.86,1.50,2.36,5.27,1.29,3.22,3.31,2.17,1.54,4.46,,
July,0.99,2.40,1.24,4.38,2.90,1.44,1.12,1.94,2.87,3.30,,
August,3.01,1.66,3.08,3.48,2.51,2.32,1.02,2.25,2.43,2.97,,
September,0.60,1.51,0.84,3.38,1.41,1.18,1.23,0.58,1.53,2.36,,
October,1.99,2.08,1.31,5.20,1.05,1.37,3.55,2.36,1.21,4.45,,
November,2.07,1.11,1.05,2.04,1.33,2.32,3.89,2.13,1.08,0.73,,
December,2.58,3.59,1.18,1.37,1.68,0.75,2.59,2.87,1.92,3.49,,
Total,23.69,22.70,17.73,35.27,20.95,19.99,25.65,23.88,21.02,29.52,,
Calc annual,23.69,22.70,17.73,35.27,20.95,19.99,25.65,23.88,21.02,29.52,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,,
