"GRIMSTON MANOR HOUSE",,,,,,,,,,,,
Grid ref,TF721222,Long,0.549605,Lat,52.769968,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,1.69,1.88,,,,,,,
February,,,,0.70,3.04,,,,,,,
March,,,,2.71,1.60,,,,,,,
April,,,,2.01,0.95,,,,,,,
May,,,,3.16,1.96,,,,,,,
June,,,3.21,2.54,1.12,,,,,,,
July,,,2.86,3.34,4.07,,,,,,,
August,,,2.47,4.51,2.39,,,,,,,
September,,,1.21,4.04,2.24,,,,,,,
October,,,2.02,5.39,1.18,,,,,,,
November,,,1.28,1.83,1.18,,,,,,,
December,,,1.51,1.35,1.97,,,,,,,
Total,,,,33.27,23.58,,,,,,,
Calc annual,0.00,0.00,14.56,33.27,23.58,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
