"BALLATER, IRRIGATION FARM NO 18",,,,,,,,,,,,
Grid ref,NO376964,Long,-3.030321,Lat,57.054416,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,2.10,,
February,,,,,,,,,,1.29,,
March,,,,,,,,,,6.47,,
April,,,,,,,,,,2.84,,
May,,,,,,,,,,3.17,,
June,,,,,,,,,0.41,2.28,,
July,,,,,,,,,2.81,3.51,,
August,,,,,,,,,2.50,2.06,,
September,,,,,,,,,2.70,1.69,,
October,,,,,,,,,1.77,3.72,,
November,,,,,,,,,1.46,1.09,,
December,,,,,,,,,2.49,2.97,,
Total,,,,,,,,,,33.19,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.14,33.19,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
