"WIRRAL W.W. PRENTON",,,,,,,,,,,,
Grid ref,SJ295863,Long,-3.061010,Lat,53.368842,,,,,,,
Station no,2787,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.54,1.07,1.58,1.58,,
February,,,,,,,1.69,1.54,2.00,0.57,,
March,,,,,,,2.22,1.98,2.82,2.27,,
April,,,,,,,1.05,5.81,3.18,2.26,,
May,,,,,,,2.12,2.39,2.71,0.80,,
June,,,,,,,1.52,4.16,1.95,2.00,,
July,,,,,,,1.40,1.48,3.53,2.72,,
August,,,,,,,3.17,2.13,2.46,2.78,,
September,,,,,,,1.37,0.58,3.34,2.57,,
October,,,,,,,4.24,3.71,1.96,3.51,,
November,,,,,,,1.52,2.33,1.92,0.80,,
December,,,,,,,3.05,1.76,1.41,5.80,,
Total,,,,,,,27.89,28.94,28.86,27.66,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,27.89,28.94,28.86,27.66,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,-0.00,,
