"HOY GRAEMSAY SOUND WEST = LOW",,,,,,,,,,,,
Grid ref,HY266060,Long,-3.276921,Lat,58.934935,,,,,,,
Station no,5821,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.32,3.97,2.90,3.78,3.65,3.43,4.20,4.15,2.78,3.52,,
February,3.35,3.51,1.01,5.21,4.03,4.36,6.00,3.00,3.70,1.73,,
March,2.01,2.30,4.24,3.40,2.40,4.48,2.28,2.50,4.22,1.76,,
April,2.15,2.87,2.13,2.88,5.80,4.61,3.05,1.95,1.77,1.61,,
May,2.70,1.83,2.55,1.23,2.45,2.25,3.19,1.58,3.20,1.48,,
June,0.62,3.29,1.48,0.90,1.28,1.38,1.00,4.19,2.07,2.53,,
July,3.94,1.75,3.14,3.80,1.03,2.40,1.83,1.55,1.39,1.85,,
August,2.27,3.77,2.95,4.60,2.96,3.13,4.06,4.67,2.06,2.68,,
September,5.28,1.49,2.45,3.60,4.80,4.01,3.28,1.50,2.96,2.30,,
October,6.42,3.95,3.38,6.60,5.73,5.65,3.86,2.68,1.56,5.37,,
November,4.84,3.24,2.30,4.78,5.00,6.60,5.64,3.05,4.20,6.59,,
December,6.29,6.82,3.09,4.40,5.48,2.81,3.76,2.60,2.93,4.51,,
Total,46.19,38.79,31.62,45.18,44.61,45.11,42.15,33.42,32.84,35.93,,
Calc annual,46.19,38.79,31.62,45.18,44.61,45.11,42.15,33.42,32.84,35.93,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
