"WEST HARTLEPOOL LYNN STREET",,,,,,,,,,,,
Grid ref,NZ514325,Long,-1.204249,Lat,54.684936,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,1.52,0.79,0.49,1.18,1.50,0.24,1.67,0.34,0.65,0.45,,
February,3.64,1.18,1.18,0.50,1.25,0.47,0.56,0.41,0.85,0.98,,
March,1.08,0.95,0.37,1.25,0.70,1.13,0.84,0.42,1.55,2.46,,
April,0.74,0.78,1.25,1.26,1.07,1.76,0.58,1.41,1.61,2.02,,
May,0.80,1.59,1.90,1.77,2.36,0.48,2.48,2.85,1.49,1.36,,
June,3.49,0.84,1.94,1.82,1.00,0.82,0.60,1.99,0.41,1.25,,
July,1.19,3.35,1.71,3.45,1.25,0.55,1.21,0.96,2.59,2.10,,
August,3.73,2.67,1.56,1.41,1.60,2.41,2.93,1.75,0.85,4.09,,
September,0.64,0.80,0.48,2.19,1.15,1.58,0.28,0.36,1.50,1.34,,
October,3.41,1.51,1.70,4.98,0.43,2.10,3.74,2.89,0.57,1.81,,
November,1.79,2.64,0.79,1.50,1.51,3.18,1.80,1.66,1.11,0.64,,
December,1.82,1.67,1.22,0.82,1.68,0.26,1.15,2.00,0.50,1.71,,
Total,23.85,18.77,14.59,22.13,15.50,14.98,17.84,17.04,13.68,20.21,,
Calc annual,23.85,18.77,14.59,22.13,15.50,14.98,17.84,17.04,13.68,20.21,,
Difference,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
