"GAINFORD",,,,,,,,,,,,
Grid ref,NZ171169,Long,-1.737171,Lat,54.547069,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.47,2.69,0.60,0.99,1.16,,
February,,,,,,0.58,0.98,1.23,1.65,1.00,,
March,,,,,,1.27,1.11,0.82,4.60,4.24,,
April,,,,,,1.94,0.54,1.77,2.61,1.94,,
May,,,,,,0.66,2.91,2.52,2.38,1.78,,
June,,,,,,1.66,0.86,3.52,0.80,1.87,,
July,,,,,,0.70,1.30,2.11,2.46,2.33,,
August,,,,,,3.79,2.05,1.49,1.21,2.77,,
September,,,,,,1.95,0.47,0.39,3.08,1.98,,
October,,,,,,1.40,3.61,4.42,1.76,2.27,,
November,,,,,,4.16,2.23,2.60,0.89,0.47,,
December,,,,,,0.43,2.22,3.17,0.66,3.71,,
Total,,,,,,19.01,20.97,24.64,23.09,25.52,,
Calc annual,0.00,0.00,0.00,0.00,0.00,19.01,20.97,24.64,23.09,25.52,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,0.00,,
