"THURSO (BUCKIES)",,,,,,,,,,,,
Grid ref,ND109633,Long,-3.532612,Lat,58.548617,,,,,,,
Station no,5812,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.05,3.96,,
February,,,,,,,,,4.32,1.51,,
March,,,,,,,,,2.86,2.87,,
April,,,,,,,,,2.45,2.15,,
May,,,,,,,,,2.11,2.34,,
June,,,,,,,,,1.87,2.33,,
July,,,,,,,,,1.53,3.01,,
August,,,,,,,,,1.60,3.57,,
September,,,,,,,,,4.84,2.42,,
October,,,,,,,,,1.12,3.89,,
November,,,,,,,,,3.97,7.60,,
December,,,,,,,,,2.94,3.80,,
Total,,,,,,,,,31.66,39.45,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.66,39.45,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
