"SPORLE PETYGARDS",,,,,,,,,,,,
Grid ref,TF856084,Long,0.741693,Lat,52.641588,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,1.66,0.80,,,,,,,,,,
February,3.03,1.15,,,,,,,,,,
March,0.88,1.90,,,,,,,,,,
April,1.19,2.35,,,,,,,,,,
May,1.35,0.87,,,,,,,,,,
June,2.43,1.33,,,,,,,,,,
July,2.08,1.05,,,,,,,,,,
August,3.18,0.95,,,,,,,,,,
September,0.56,1.13,,,,,,,,,,
October,2.57,2.28,,,,,,,,,,
November,2.60,2.14,,,,,,,,,,
December,3.22,3.97,,,,,,,,,,
Total,24.75,19.92,,,,,,,,,,
Calc annual,24.75,19.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
