"BALQUHIDDER STRONVAR",,,,,,,,,,,,
Grid ref,NN528203,Long,-4.383681,Lat,56.352074,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,11.57,5.62,7.99,15.38,8.40,5.43,12.96,4.09,9.09,10.24,,
February,4.66,1.72,2.03,15.73,6.32,4.78,4.03,7.68,5.07,3.65,,
March,0.90,5.26,5.83,18.31,4.82,8.48,5.70,6.05,8.40,2.65,,
April,4.70,6.18,5.40,2.04,9.79,3.83,2.58,4.30,1.63,7.24,,
May,8.02,3.68,3.43,2.28,5.38,3.12,5.36,5.01,3.38,5.29,,
June,5.49,6.33,2.43,3.44,4.71,2.83,1.19,6.64,3.98,2.45,,
July,3.26,4.51,2.94,5.63,4.71,3.35,4.50,2.34,5.53,3.28,,
August,5.21,5.14,3.47,10.69,7.74,7.34,7.61,8.25,6.24,3.64,,
September,6.80,8.43,5.33,6.44,7.60,4.50,3.26,1.91,10.15,2.55,,
October,8.09,7.11,5.41,15.58,4.29,4.80,10.82,5.67,2.74,14.05,,
November,6.59,4.75,7.12,5.44,2.63,10.38,7.57,5.53,7.37,5.03,,
December,19.44,10.27,9.87,8.06,9.57,7.66,4.91,9.06,9.75,7.44,,
Total,84.73,69.00,61.25,109.02,75.96,66.50,70.49,66.53,73.33,67.51,,
Calc annual,84.73,69.00,61.25,109.02,75.96,66.50,70.49,66.53,73.33,67.51,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,,
