"NORTHAMPTON ABINGTON STREET & GOLD STREET MERCERS ROW",,,,,,,,,,,,
Grid ref,SP754605,Long,-0.897265,Lat,52.237537,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.86,4.01,1.14,1.10,,,
February,,,,,,0.64,2.19,1.23,0.93,,,
March,,,,,,2.43,1.27,1.06,3.16,,,
April,,,,,,1.58,0.54,2.07,3.89,,,
May,,,,,,0.81,1.43,3.66,1.43,,,
June,,,,,,3.11,3.86,1.82,1.80,,,
July,,,,,,0.44,0.89,2.34,3.07,,,
August,,,,,,3.07,1.46,1.73,3.74,,,
September,,,,,,1.22,0.74,0.66,1.46,,,
October,,,,,,1.03,3.95,4.00,1.07,,,
November,,,,,,2.58,3.59,1.86,0.82,,,
December,,,,,,0.81,2.18,3.30,1.67,,,
Total,,,,,,18.58,26.11,24.87,24.14,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,18.58,26.11,24.87,24.14,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,,
