"BURGH HALL (YARMOUTH)",,,,,,,,,,,,
Grid ref,TG495046,Long,1.681405,Lat,52.581912,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.22,0.55,0.94,1.32,1.69,0.86,3.83,1.31,0.55,0.67,,
February,2.38,1.14,0.48,0.26,2.34,1.07,2.13,1.40,1.88,0.77,,
March,1.03,1.65,1.21,1.74,1.46,1.51,1.44,1.11,2.33,2.32,,
April,0.81,2.06,1.12,1.98,0.77,1.58,0.52,2.84,2.54,1.43,,
May,1.45,0.85,2.53,1.72,1.94,1.05,2.19,2.90,1.73,1.18,,
June,2.41,1.33,2.58,2.00,0.59,3.22,2.00,1.59,0.67,2.07,,
July,1.52,1.66,2.25,3.22,1.70,0.56,0.31,1.17,2.57,2.44,,
August,3.64,0.78,4.90,3.78,2.44,5.17,2.63,1.00,3.21,1.76,,
September,0.92,0.83,1.41,3.17,1.19,1.53,1.17,0.36,1.85,1.84,,
October,1.75,2.00,1.19,3.84,1.09,4.21,3.12,3.70,1.76,3.69,,
November,1.48,2.38,0.91,1.38,1.54,1.72,4.23,2.54,1.45,1.34,,
December,2.14,4.18,1.84,1.11,2.28,1.05,5.24,2.55,1.43,4.44,,
Total,21.75,19.41,21.36,25.52,19.03,23.53,28.81,22.47,21.97,23.95,,
Calc annual,21.75,19.41,21.36,25.52,19.03,23.53,28.81,22.47,21.97,23.95,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
