"AYR DOONHOLM",,,,,,,,,,,,
Grid ref,NS338174,Long,-4.627600,Lat,55.422238,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.96,2.48,5.21,7.40,3.94,3.03,5.08,2.45,5.14,4.88,,
February,2.44,1.37,1.09,5.80,2.85,3.23,3.17,2.61,2.79,2.63,,
March,0.22,2.09,3.73,7.50,2.44,3.65,3.39,4.19,4.31,2.21,,
April,2.32,3.35,1.04,1.58,4.31,2.63,1.69,2.72,1.39,2.84,,
May,2.80,1.40,2.58,3.98,3.28,1.37,3.63,4.02,2.29,1.97,,
June,2.15,3.56,1.48,2.27,1.20,1.43,0.95,3.79,2.38,2.56,,
July,2.89,1.00,2.60,2.79,2.59,2.84,2.87,1.96,3.18,5.79,,
August,4.42,4.82,3.10,6.07,5.31,4.12,4.65,3.21,3.71,2.66,,
September,2.85,3.40,3.89,2.96,3.39,2.90,1.50,0.68,4.38,1.75,,
October,6.19,4.54,2.56,7.78,2.48,3.47,5.70,6.72,0.88,6.23,,
November,5.26,4.59,2.52,3.37,4.38,3.42,4.02,3.49,4.11,2.12,,
December,6.04,4.83,3.25,3.81,3.10,4.67,4.47,4.27,3.34,4.93,,
Total,42.54,37.43,33.05,55.31,39.27,36.76,41.12,40.11,37.90,40.57,,
Calc annual,42.54,37.43,33.05,55.31,39.27,36.76,41.12,40.11,37.90,40.57,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
