"LEIGH, SEWAGE WORKS",,,,,,,,,,,,
Grid ref,SJ661991,Long,-2.512367,Lat,53.487513,,,,,,,
Station no,2824,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.39,2.45,1.58,4.63,1.53,2.42,1.99,,
February,,,,2.44,3.35,1.81,3.25,1.56,2.91,1.06,,
March,,,,3.42,1.48,3.14,2.37,2.78,3.01,2.71,,
April,,,,1.86,1.72,2.80,1.61,1.54,2.52,3.46,,
May,,,,3.99,2.15,0.56,3.02,4.20,2.89,2.67,,
June,,,,1.83,1.17,2.28,1.80,5.86,2.22,2.79,,
July,,,,5.17,1.52,1.95,0.96,3.31,4.74,4.34,,
August,,,,3.42,4.25,3.62,3.63,4.29,3.50,3.20,,
September,,,,4.27,1.70,2.25,2.18,0.94,3.65,2.52,,
October,,,,6.83,1.85,3.07,5.82,3.85,2.39,5.73,,
November,,,,3.22,2.19,3.41,2.65,2.64,2.88,1.36,,
December,,,,1.36,3.01,0.36,3.21,3.06,2.33,6.22,,
Total,,,,40.20,26.84,26.83,35.13,35.56,35.46,38.05,,
Calc annual,0.00,0.00,0.00,40.20,26.84,26.83,35.13,35.56,35.46,38.05,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
