"DROGHEDA ST JAMES', LOUTH",,,,,,,,,,,,
Grid ref,IO0913274979,Long,-6.347631,Lat,53.713274,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.00,3.98,3.05,1.30,3.28,,,,,
February,,,1.82,2.20,4.00,0.83,1.56,,,,,
March,,,1.71,4.56,2.32,4.05,1.34,,,,,
April,,,1.90,1.52,1.42,1.96,1.47,,,,,
May,,,2.92,2.89,3.00,0.73,3.60,,,,,
June,,,2.15,1.87,1.29,1.38,1.71,,,,,
July,,,2.75,4.20,2.70,0.95,1.55,,,,,
August,,,3.57,4.15,4.46,8.71,2.55,,,,,
September,,,2.64,4.15,2.62,1.45,0.95,,,,,
October,,,2.94,3.62,0.77,0.84,3.54,,,,,
November,,,2.90,2.91,1.61,3.69,1.87,,,,,
December,,,1.42,2.84,2.42,1.85,2.19,,,,,
Total,,,28.72,38.89,29.66,27.74,25.61,,,,,
Calc annual,0.00,0.00,28.72,38.89,29.66,27.74,25.61,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,-0.00,-0.00,NaN,NaN,NaN,,
