"QUANTOCKSHEAD ST AUDRIES' RECTORY",,,,,,,,,,,,
Grid ref,ST113418,Long,-3.270047,Lat,51.168540,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.20,5.09,1.60,,,,
February,,,,,,1.20,2.51,1.06,,,,
March,,,,,,3.62,1.61,0.73,,,,
April,,,,,,2.18,1.39,,,,,
May,,,,,,0.11,3.99,,,,,
June,,,,,,4.40,2.46,,,,,
July,,,,,,0.63,0.67,,,,,
August,,,,,,4.62,1.79,,,,,
September,,,,,,1.41,0.70,,,,,
October,,,,,,2.09,3.96,,,,,
November,,,,,,3.50,3.16,,,,,
December,,,,,,1.24,1.75,,,,,
Total,,,,,,26.20,29.08,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,26.20,29.08,3.39,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,NaN,NaN,NaN,,
