"BOLTON BELMONT HORDERN",,,,,,,,,,,,
Grid ref,SD656164,Long,-2.521813,Lat,53.642972,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,2.60,7.90,2.50,4.90,,,
February,,,,,,3.50,4.70,2.30,5.70,,,
March,,,,,,4.60,4.40,4.70,4.20,,,
April,,,,,,4.70,2.70,3.00,3.10,,,
May,,,,,,1.20,5.10,5.30,4.20,,,
June,,,,,,2.50,2.80,10.80,2.60,,,
July,,,,,,3.60,3.30,4.80,7.50,,,
August,,,,,,5.80,5.10,7.00,4.80,,,
September,,,,,,4.30,2.60,1.60,6.10,,,
October,,,,,,6.20,8.30,4.20,2.90,,,
November,,,,,,6.30,4.90,4.70,4.60,,,
December,,,,,,1.40,4.80,5.40,3.70,,,
Total,,,,,,46.70,56.60,56.30,54.30,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,46.70,56.60,56.30,54.30,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,-0.00,NaN,,
