"SHEFFORD CLIFTON BURY",,,,,,,,,,,,
Grid ref,TL167394,Long,-0.299943,Lat,52.040726,,,,,,,
Station no,1170,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,1.67,1.03,2.70,1.07,1.25,0.95,,
February,,,,,2.19,0.85,1.40,0.91,1.10,0.34,,
March,,,,,1.20,2.40,1.63,0.84,2.52,2.66,,
April,,,,,0.91,1.62,0.75,2.22,2.83,1.30,,
May,,,,,1.38,1.29,1.27,3.10,1.53,1.24,,
June,,,,,0.71,2.96,4.06,1.59,1.10,4.65,,
July,,,,,2.31,0.73,0.62,1.77,2.38,2.46,,
August,,,,2.84,1.67,3.87,0.68,1.77,2.39,1.68,,
September,,,,2.10,1.05,1.27,0.91,0.64,1.25,1.98,,
October,,,,4.92,1.33,1.03,3.33,3.47,1.83,3.83,,
November,,,,2.14,1.31,1.96,3.68,1.92,0.83,0.80,,
December,,,,1.13,1.60,0.72,2.09,-999.00,1.57,2.79,,
Total,,,,,17.33,19.73,23.12,21.98,20.58,24.68,,
Calc annual,0.00,0.00,0.00,13.13,17.33,19.73,23.12,19.30,20.58,24.68,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,2.68,0.00,-0.00,,
