"COCKERMOUTH BRANDLINGILL",,,,,,,,,,,,
Grid ref,NY121265,Long,-3.362995,Lat,54.625954,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.15,3.87,5.54,7.90,6.30,2.92,7.98,2.65,7.11,4.60,,
February,4.67,2.49,1.23,10.15,5.18,3.89,4.32,2.89,4.29,3.79,,
March,0.51,3.73,3.65,11.94,4.31,4.72,4.07,5.97,5.13,3.57,,
April,3.19,4.08,3.08,2.33,5.00,4.66,1.88,4.13,2.59,3.70,,
May,3.74,2.33,3.40,3.55,3.49,3.62,6.26,5.18,3.46,2.02,,
June,3.53,2.75,1.96,1.72,2.24,2.53,2.90,7.19,4.00,3.33,,
July,2.83,1.01,3.92,5.59,4.78,2.54,3.29,2.16,5.76,7.45,,
August,9.74,6.46,3.96,7.81,5.80,3.99,6.49,7.05,7.38,3.90,,
September,5.58,3.60,2.61,7.33,3.15,4.34,1.41,0.48,6.74,3.26,,
October,7.65,8.88,5.42,10.86,3.61,4.23,7.87,10.27,1.98,11.83,,
November,5.29,8.77,3.40,5.00,5.28,5.93,4.98,5.06,5.02,3.11,,
December,12.92,7.76,7.00,6.10,7.87,4.91,4.87,8.20,4.27,9.76,,
Total,65.80,55.73,45.17,80.28,57.01,48.28,56.32,61.23,57.73,60.32,,
Calc annual,65.80,55.73,45.17,80.28,57.01,48.28,56.32,61.23,57.73,60.32,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,,
