"BANNOCHBURN AUCHENBOWIE",,,,,,,,,,,,
Grid ref,NS798874,Long,-3.932144,Lat,56.064289,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,3.00,6.70,8.40,,
February,,,,,,,,4.20,3.70,1.80,,
March,,,,,,,,4.80,5.60,2.40,,
April,,,,,,,,1.60,1.35,3.80,,
May,,,,,,,,5.10,2.90,3.50,,
June,,,,,,,,5.85,2.60,2.10,,
July,,,,,,,,3.30,3.80,3.10,,
August,,,,,,,,6.90,4.50,4.50,,
September,,,,,,,,1.70,6.15,1.85,,
October,,,,,,,,5.80,2.30,6.70,,
November,,,,,,,,3.00,4.90,2.40,,
December,,,,,,,,7.90,5.00,6.30,,
Total,,,,,,,,53.15,49.50,46.85,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.15,49.50,46.85,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
