"ARISAIG, FAIRE-NA-SGUIR",,,,,,,,,,,,
Grid ref,NM658855,Long,-5.847801,Lat,56.901487,,,,,,,
Station no,5720,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,5.95,,,
February,,,,,,,,,5.29,,,
March,,,,,,,,,4.95,,,
April,,,,,,,,,1.34,,,
May,,,,,,,,,3.96,,,
June,,,,,,,,,4.16,,,
July,,,,,,,,,5.08,,,
August,,,,,,,,,5.02,,,
September,,,,,,,,,7.45,2.95,,
October,,,,,,,,,1.79,7.33,,
November,,,,,,,,,6.87,4.69,,
December,,,,,,,,,7.06,,,
Total,,,,,,,,,58.92,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.92,14.97,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,,
