"HEDNESFORD SCOUT HOUSE",,,,,,,,,,,,
Grid ref,SK014121,Long,-1.980717,Lat,52.706566,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.05,0.86,0.86,1.60,1.95,0.63,3.23,0.73,0.53,0.78,,
February,3.11,1.23,1.21,0.86,3.92,0.39,1.66,1.18,0.76,0.30,,
March,0.53,1.10,1.06,3.35,1.35,2.55,1.71,0.71,2.10,1.91,,
April,0.70,1.52,1.56,1.55,1.22,1.56,1.30,1.42,2.23,0.98,,
May,1.71,1.33,1.84,2.39,2.33,0.30,2.37,3.40,3.20,1.36,,
June,1.66,2.63,1.86,1.24,0.79,2.52,1.70,2.43,2.10,3.41,,
July,2.60,3.12,1.25,1.76,1.97,1.24,0.77,3.18,1.96,2.63,,
August,3.60,2.16,4.45,4.36,2.46,4.03,1.23,2.60,3.52,1.95,,
September,0.84,0.65,1.95,4.26,1.75,1.19,1.16,0.80,1.61,2.23,,
October,2.44,1.56,2.49,4.82,0.74,1.15,4.96,5.18,2.08,2.75,,
November,2.63,1.46,2.33,2.03,2.17,2.70,2.27,2.04,1.45,0.68,,
December,3.65,3.57,1.33,1.90,1.52,0.70,1.78,2.29,1.61,3.56,,
Total,26.52,21.19,22.19,30.12,22.17,18.96,24.14,25.96,23.15,22.54,,
Calc annual,26.52,21.19,22.19,30.12,22.17,18.96,24.14,25.96,23.15,22.54,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
