"BILLERICAY SERVICE TANK",,,,,,,,,,,,
Grid ref,TQ674941,Long,0.416756,Lat,51.620827,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.82,,
February,,,,,,,,,,0.48,,
March,,,,,,,,,,3.30,,
April,,,,,,,,,,1.69,,
May,,,,,,,,,,1.17,,
June,,,,,,,,,,3.90,,
July,,,,,,,,,,3.58,,
August,,,,,,,,,,3.08,,
September,,,,,,,,,,2.73,,
October,,,,,,,,,,4.23,,
November,,,,,,,,,,1.15,,
December,,,,,,,,,,3.35,,
Total,,,,,,,,,,29.48,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.48,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
