"BEDDINGTON SEWAGE FARM",,,,,,,,,,,,
Grid ref,TQ297659,Long,-0.137835,Lat,51.377346,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.08,0.99,,
February,,,,,,,,,0.90,0.49,,
March,,,,,,,,,2.41,2.59,,
April,,,,,,,,,1.76,1.77,,
May,,,,,,,,,2.25,1.04,,
June,,,,,,,,,2.16,3.05,,
July,,,,,,,,,3.24,2.93,,
August,,,,,,,,,3.22,1.68,,
September,,,,,,,,,1.35,2.37,,
October,,,,,,,,,2.05,3.57,,
November,,,,,,,,,0.61,0.73,,
December,,,,,,,,,1.76,2.22,,
Total,,,,,,,,,22.79,23.43,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.79,23.43,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
