"GOUDHURST GORE COURT",,,,,,,,,,,,
Grid ref,TQ723395,Long,0.461015,Lat,51.128863,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,5.16,1.31,4.45,1.27,1.86,1.15,,
February,,,,,3.18,1.04,2.34,1.80,1.03,0.50,,
March,,,,,1.48,3.89,2.08,1.05,2.82,4.31,,
April,,,,,0.84,2.75,1.45,3.05,2.56,1.83,,
May,,,,,2.18,2.32,2.02,3.69,1.75,1.39,,
June,,,,,1.32,4.38,1.98,1.77,1.65,3.21,,
July,,,,,1.40,0.68,0.73,1.55,3.12,3.22,,
August,,,,,1.22,2.33,1.12,1.82,4.55,2.42,,
September,,,,,1.30,2.43,1.70,1.28,1.52,4.35,,
October,,,,,2.28,1.76,4.72,4.78,2.14,6.59,,
November,,,,,1.63,4.59,6.13,2.03,1.23,1.08,,
December,,,,,3.61,0.68,1.97,3.16,3.10,4.75,,
Total,,,,,25.60,28.16,30.69,27.25,27.33,34.80,,
Calc annual,0.00,0.00,0.00,0.00,25.60,28.16,30.69,27.25,27.33,34.80,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,-0.00,-0.00,,
