"ATHBOY MITCHELSTON",,,,,,,,,,,,
Grid ref,IN7340063000,Long,-6.891586,Lat,53.611893,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,3.00,2.01,,
February,,,,,,,,,2.14,0.92,,
March,,,,,,,,,3.49,3.33,,
April,,,,,,,,,2.44,4.81,,
May,,,,,,,,,2.72,1.63,,
June,,,,,,,,,0.94,2.03,,
July,,,,,,,,,3.14,2.98,,
August,,,,,,,,,2.78,1.26,,
September,,,,,,,,,5.50,2.70,,
October,,,,,,,,,1.85,5.25,,
November,,,,,,,,,2.02,1.70,,
December,,,,,,,,,2.79,5.16,,
Total,,,,,,,,,32.81,33.78,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.81,33.78,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
