"COCKFIELD RECTORY",,,,,,,,,,,,
Grid ref,TL913550,Long,0.795340,Lat,52.160118,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.85,0.58,0.63,2.42,2.00,1.20,3.71,1.39,0.91,0.74,,
February,2.74,0.66,0.87,0.47,2.59,1.04,2.14,1.20,1.67,0.48,,
March,0.99,2.00,1.23,1.95,1.83,1.73,1.98,1.01,1.87,2.59,,
April,1.24,1.87,1.03,2.62,0.98,2.10,0.97,3.28,2.91,1.40,,
May,1.08,1.03,2.75,2.13,1.62,1.59,1.10,2.64,1.18,1.18,,
June,2.87,2.27,3.89,3.65,1.14,2.67,2.94,2.07,0.73,6.11,,
July,1.63,0.67,1.46,4.78,3.16,0.85,0.42,1.80,3.80,3.66,,
August,3.46,0.86,4.27,3.85,1.94,2.18,1.05,2.34,2.08,2.42,,
September,0.40,0.92,1.24,2.75,1.04,1.41,1.57,0.62,1.30,2.75,,
October,2.14,2.05,1.75,5.01,1.09,1.80,3.79,2.65,1.26,3.98,,
November,2.05,1.30,1.49,2.04,1.20,2.33,3.84,2.33,1.13,0.59,,
December,2.72,3.08,1.15,1.09,2.26,0.81,2.39,2.95,1.70,4.29,,
Total,24.17,17.29,21.76,32.76,20.85,19.71,25.90,24.28,20.54,30.19,,
Calc annual,24.17,17.29,21.76,32.76,20.85,19.71,25.90,24.28,20.54,30.19,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
