"KILMACOLM ST OSWALD",,,,,,,,,,,,
Grid ref,NS3589869585,Long,-4.625677,Lat,55.891350,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,8.80,5.32,2.89,5.60,,7.14,7.50,,
February,,,,9.18,3.70,3.35,4.57,,5.75,3.25,,
March,,,,7.96,2.58,5.03,5.30,,7.64,2.87,,
April,,,,1.25,4.76,2.63,2.19,,2.34,4.75,,
May,,,,2.50,2.16,1.11,7.60,,3.34,2.54,,
June,,,,1.98,2.35,1.06,2.96,,3.00,3.69,,
July,,,,3.36,2.24,2.73,2.82,,4.49,3.20,,
August,,,,7.12,3.74,5.27,6.46,,4.30,2.97,,
September,,,,3.29,4.90,3.15,2.57,,7.60,2.37,,
October,,,,8.10,2.25,4.23,7.60,,1.87,9.11,,
November,,,,3.00,2.70,7.07,5.59,,3.83,4.01,,
December,,,,4.28,3.96,4.80,4.60,,5.89,7.12,,
Total,,,,60.82,40.66,43.32,57.86,,57.19,53.38,,
Calc annual,0.00,0.00,0.00,60.82,40.66,43.32,57.86,0.00,57.19,53.38,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,NaN,0.00,0.00,,
