"BRIDPORT CONEYGAR",,,,,,,,,,,,
Grid ref,SY469932,Long,-2.753823,Lat,50.735973,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.25,2.97,0.85,3.51,5.06,0.72,6.36,1.40,0.81,1.10,,
February,5.98,1.26,2.02,1.81,5.98,0.69,3.38,1.68,2.13,0.31,,
March,1.63,2.37,2.27,5.22,1.61,5.46,1.36,0.53,2.65,4.24,,
April,1.52,3.02,2.27,3.86,1.34,2.20,0.71,3.79,2.77,1.43,,
May,1.87,1.68,2.24,2.84,3.16,0.45,2.23,2.23,1.40,1.13,,
June,2.88,1.69,3.24,1.72,1.08,2.51,1.17,1.88,0.25,3.36,,
July,0.78,3.11,2.13,3.55,4.38,0.60,1.29,1.26,1.33,3.45,,
August,2.18,2.54,4.09,5.07,4.14,4.25,1.21,1.38,3.31,2.86,,
September,1.04,4.61,2.80,5.23,2.61,1.70,1.43,0.84,2.88,1.89,,
October,2.70,3.64,2.81,6.99,2.38,2.41,5.53,7.49,4.39,7.21,,
November,4.62,0.67,4.52,1.45,2.00,4.92,3.42,3.01,0.96,0.75,,
December,6.22,7.41,2.26,4.01,3.87,0.90,2.10,3.66,3.90,5.56,,
Total,36.67,34.97,31.50,45.26,37.61,26.81,30.19,29.15,26.78,33.29,,
Calc annual,36.67,34.97,31.50,45.26,37.61,26.81,30.19,29.15,26.78,33.29,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
