"AMPTHILL WREST PARK",,,,,,,,,,,,
Grid ref,TL089355,Long,-0.414857,Lat,52.007261,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.86,0.47,0.50,,,,,,,,,
February,3.61,0.75,0.83,,,,,,,,,
March,0.76,3.36,1.07,,,,,,,,,
April,1.03,2.14,0.58,,,,,,,,,
May,1.08,1.03,1.80,,,,,,,,,
June,2.17,0.84,3.02,,,,,,,,,
July,1.67,3.02,1.25,,,,,,,,,
August,3.31,1.43,2.93,,,,,,,,,
September,0.67,1.07,0.83,,,,,,,,,
October,2.10,1.33,1.38,,,,,,,,,
November,1.77,1.00,1.16,,,,,,,,,
December,2.17,2.54,1.46,,,,,,,,,
Total,23.20,18.98,16.81,,,,,,,,,
Calc annual,23.20,18.98,16.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
