"SOUTH MOLTON EAST STREET",,,,,,,,,,,,
Grid ref,SS715259,Long,-3.833375,Lat,51.018075,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.26,5.77,3.05,,,,,,,,,
February,5.01,1.51,1.47,,,,,,,,,
March,1.27,2.32,5.06,,,,,,,,,
April,1.89,3.50,0.69,,,,,,,,,
May,1.64,0.73,3.27,,,,,,,,,
June,2.97,3.22,4.21,,,,,,,,,
July,1.46,0.97,2.57,,,,,,,,,
August,3.29,3.02,2.79,,,,,,,,,
September,2.05,3.08,1.85,,,,,,,,,
October,6.41,3.76,4.00,,,,,,,,,
November,4.16,1.81,4.51,,,,,,,,,
December,6.17,7.56,3.77,,,,,,,,,
Total,41.58,37.25,37.24,,,,,,,,,
Calc annual,41.58,37.25,37.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
