"EXMOUTH FILTERS CAPEL LANE",,,,,,,,,,,,
Grid ref,SY027819,Long,-3.377035,Lat,50.628653,,,,,,,
Station no,1760,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.30,,
February,,,,,,,,,,0.40,,
March,,,,,,,,,,4.56,,
April,,,,,,,,,,1.60,,
May,,,,,,,,,,1.04,,
June,,,,,,,,,,3.40,,
July,,,,,,,,,,2.48,,
August,,,,,,,,,,1.77,,
September,,,,,,,,,,1.59,,
October,,,,,,,,,,5.14,,
November,,,,,,,,,,0.42,,
December,,,,,,,,,,4.57,,
Total,,,,,,,,,,28.27,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.27,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
