"CAHIR (MOUNTAIN GAUGE)",,,,,,,,,,,,
Grid ref,IR8993723779,Long,-8.148462,Lat,52.365805,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,3.02,,,
February,,,,,,,,,1.90,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,,,,,3.95,3.89,,,
September,,,,,,,,1.33,6.35,,,
October,,,,,,,,9.80,,,,
November,,,,,,,,5.04,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.12,15.16,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
