"FLANNAN ISLANDS",,,,,,,,,,,,
Grid ref,NA725469,Long,-7.591046,Lat,58.288185,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.00,,,,,,,,,,
February,,1.40,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,5.53,,,,,,,,,,,
August,4.27,,,,,,,,,,,
September,6.13,,,,,,,,,,,
October,4.56,,,,,,,,,,,
November,4.27,,,,,,,,,,,
December,9.44,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,34.20,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
