"NEWCASTLE LEAZES PARK",,,,,,,,,,,,
Grid ref,NZ240648,Long,-1.626570,Lat,54.977236,,,,,,,
Station no,3561,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.84,1.20,1.14,2.19,1.29,0.19,1.94,-999.00,1.37,1.84,,
February,7.02,2.20,1.64,1.26,2.80,0.73,0.57,0.88,0.36,1.68,,
March,1.78,1.86,0.86,1.14,1.32,1.10,1.26,0.63,4.70,5.60,,
April,1.34,2.01,1.24,1.37,1.50,3.18,1.35,2.45,3.06,2.59,,
May,1.47,2.11,2.39,2.28,2.44,0.41,4.56,3.91,1.79,1.76,,
June,5.00,1.19,1.88,2.94,2.05,1.19,2.01,1.82,0.27,2.56,,
July,1.61,3.62,3.23,5.03,1.29,1.94,2.02,1.32,3.58,2.92,,
August,6.06,1.97,2.60,1.87,2.22,2.41,3.11,2.09,0.63,3.50,,
September,0.90,0.76,0.38,2.12,0.81,1.00,0.41,0.35,1.96,1.48,,
October,6.74,2.38,2.43,8.14,0.65,2.57,3.75,5.09,1.50,1.73,,
November,2.81,5.36,0.98,1.86,2.23,4.00,3.00,1.04,1.43,0.64,,
December,1.82,3.08,2.95,2.75,1.70,0.45,3.21,2.88,0.45,4.18,,
Total,39.39,27.74,21.72,32.95,20.30,19.17,27.19,23.08,21.10,30.48,,
Calc annual,39.39,27.74,21.72,32.95,20.30,19.17,27.19,22.46,21.10,30.48,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.00,0.00,,
