"DARNALL, HIGH HAZELS MUSEUM",,,,,,,,,,,,
Grid ref,SK400879,Long,-1.400062,Lat,53.386435,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.17,0.91,1.05,1.22,,
February,,,,,,,2.33,1.54,1.51,0.58,,
March,,,,,,,1.54,1.66,2.77,3.60,,
April,,,,,,,0.41,1.61,2.20,1.30,,
May,,,,,,,1.59,3.40,2.27,1.63,,
June,,,,,,,2.34,3.00,1.45,3.05,,
July,,,,,,,1.59,2.11,2.07,3.72,,
August,,,,,,,1.52,1.80,2.68,2.46,,
September,,,,,,,0.71,0.37,1.10,2.49,,
October,,,,,,,5.23,5.07,1.00,2.25,,
November,,,,,,,3.18,2.62,1.09,0.32,,
December,,,,,,,2.14,1.91,1.56,5.52,,
Total,,,,,,,25.75,26.00,20.75,28.14,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,25.75,26.00,20.75,28.14,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
