"BLACKSTONE EDGE CALFLEE",,,,,,,,,,,,
Grid ref,SD950203,Long,-2.077171,Lat,53.679139,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.70,2.52,2.53,4.28,3.92,1.61,5.23,1.52,4.01,2.29,,
February,3.72,0.75,1.38,3.64,3.36,1.56,3.04,2.01,2.84,1.73,,
March,0.60,3.45,1.74,6.07,2.14,3.79,3.63,3.74,3.01,2.83,,
April,3.19,2.57,2.15,1.33,2.81,2.73,1.67,2.16,1.91,4.07,,
May,1.78,2.06,2.95,4.24,2.45,0.80,2.98,4.03,2.86,2.46,,
June,4.16,2.00,1.49,1.75,2.21,2.64,2.80,8.11,2.28,2.85,,
July,2.70,2.16,2.55,4.91,2.45,2.69,2.18,2.95,5.31,5.97,,
August,6.68,2.19,3.25,5.56,5.50,6.28,4.33,4.06,3.92,3.35,,
September,1.66,0.85,2.31,5.09,1.22,2.37,1.26,1.04,4.24,3.19,,
October,6.11,3.22,4.84,9.96,1.90,3.40,7.77,5.64,2.31,6.11,,
November,4.08,5.77,2.62,2.75,2.61,4.35,4.93,3.43,2.71,1.09,,
December,5.99,4.87,3.69,2.48,2.61,0.80,3.13,4.81,2.54,6.32,,
Total,46.37,32.41,31.50,52.06,33.18,33.02,42.95,43.50,37.94,42.26,,
Calc annual,46.37,32.41,31.50,52.06,33.18,33.02,42.95,43.50,37.94,42.26,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
