"STOER HEAD",,,,,,,,,,,,
Grid ref,NC004330,Long,-5.402092,Lat,58.240328,,,,,,,
Station no,5806,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.40,3.00,0.63,2.64,1.36,1.89,1.95,2.15,3.22,2.21,,
February,2.70,4.10,0.59,2.19,1.13,2.02,1.68,1.32,1.17,0.87,,
March,1.20,2.85,1.48,2.37,0.70,3.12,0.90,0.81,1.34,0.76,,
April,2.50,1.15,0.18,1.32,3.22,2.33,0.60,1.06,0.94,0.97,,
May,1.10,1.10,0.85,0.96,1.49,0.63,1.76,0.29,1.09,1.14,,
June,1.00,1.74,0.73,1.33,1.58,0.53,0.26,2.25,1.22,0.65,,
July,3.40,1.45,1.02,4.00,1.33,1.44,1.99,1.24,0.51,1.84,,
August,2.60,2.10,0.91,4.34,3.92,2.39,1.36,1.83,1.93,1.61,,
September,5.60,0.93,0.76,1.72,3.41,3.39,0.97,1.14,2.13,1.24,,
October,5.50,1.65,2.58,3.25,3.86,3.07,0.96,0.61,0.66,2.66,,
November,3.30,1.85,5.37,2.59,3.27,2.55,2.03,1.13,1.40,2.49,,
December,9.30,1.89,3.05,1.28,3.67,2.41,1.08,2.83,1.79,1.57,,
Total,41.60,23.81,18.15,27.99,28.94,25.77,15.54,16.66,17.40,18.01,,
Calc annual,41.60,23.81,18.15,27.99,28.94,25.77,15.54,16.66,17.40,18.01,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
