"WHITELANDS HATFIELD PEVEREL",,,,,,,,,,,,
Grid ref,TL783136,Long,0.584009,Lat,51.792632,,,,,,,
Station no,1293/4,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.07,0.82,0.80,,
February,,,,,,,,0.92,1.41,0.71,,
March,,,,,,,,0.82,2.37,2.83,,
April,,,,,,,,2.98,2.80,1.76,,
May,,,,,,,,2.63,1.48,1.12,,
June,,,,,,,,2.45,0.83,3.72,,
July,,,,,,,,1.66,2.95,3.35,,
August,,,,,,,,1.77,2.70,2.34,,
September,,,,,,,,0.48,1.71,2.77,,
October,,,,,,,,3.12,1.63,4.16,,
November,,,,,,,,2.15,1.07,1.47,,
December,,,,,,,,2.48,2.23,3.39,,
Total,,,,,,,,22.53,22.00,28.42,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.53,22.00,28.42,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
