"STOCKTON ROPNER PARK",,,,,,,,,,,,
Grid ref,NZ433180,Long,-1.332016,Lat,54.555397,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,0.99,1.40,2.00,1.62,0.31,2.52,0.33,1.06,0.52,,
February,,1.29,0.90,0.94,2.00,0.60,0.97,1.03,1.51,1.24,,
March,,1.31,0.64,1.96,0.97,1.29,1.19,0.73,2.31,3.85,,
April,,1.03,1.38,1.07,0.96,2.27,0.73,1.73,2.38,1.75,,
May,,1.21,2.18,2.72,3.02,0.46,2.43,3.45,2.09,1.66,,
June,,1.28,1.78,2.27,1.19,1.27,0.96,2.71,0.57,2.60,,
July,,4.84,2.50,2.72,2.13,0.71,0.73,1.27,3.07,2.66,,
August,,1.35,1.60,1.47,2.31,2.94,3.46,2.37,1.09,5.07,,
September,,0.90,0.47,2.78,1.67,2.63,0.38,0.42,1.72,1.68,,
October,,1.81,3.22,6.18,0.51,2.10,4.71,4.05,1.34,2.40,,
November,,4.13,0.77,1.40,1.90,4.53,2.87,2.18,1.41,1.07,,
December,,3.19,1.53,0.82,1.92,0.38,3.76,2.75,0.67,2.79,,
Total,,23.33,18.37,26.33,20.20,19.49,24.71,23.02,19.22,27.29,,
Calc annual,0.00,23.33,18.37,26.33,20.20,19.49,24.71,23.02,19.22,27.29,,
Difference,NaN,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
