"NOTTINGHAM STOKE BARDOLPH SEWAGE WORKS",,,,,,,,,,,,
Grid ref,SK646416,Long,-1.039584,Lat,52.967878,,,,,,,
Station no,2607,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.23,1.17,0.97,1.79,2.35,0.74,2.76,1.11,1.02,0.77,,
February,2.74,0.95,1.63,0.89,2.17,0.50,2.08,1.25,1.68,0.60,,
March,0.44,1.92,1.04,3.01,1.33,1.83,1.48,1.44,2.44,1.82,,
April,0.79,1.31,1.60,1.83,1.23,1.23,0.41,2.15,2.39,1.31,,
May,1.38,0.71,2.25,2.69,1.57,0.22,1.65,2.70,1.79,1.13,,
June,2.81,1.59,1.47,1.41,0.44,3.23,2.32,2.27,0.93,2.27,,
July,1.86,3.32,1.01,1.45,3.80,1.79,0.42,2.17,2.42,3.79,,
August,3.67,1.38,4.26,4.78,2.40,2.88,0.87,2.09,3.29,2.76,,
September,0.66,0.88,0.95,2.78,1.65,1.61,0.89,0.64,1.23,2.80,,
October,1.47,1.48,2.03,5.33,0.26,1.35,4.32,3.56,1.04,2.75,,
November,1.42,1.69,1.06,1.80,0.91,2.45,2.70,1.88,1.13,0.85,,
December,3.84,4.64,1.41,0.81,1.33,0.55,2.57,2.71,1.20,3.06,,
Total,24.31,21.04,19.68,28.57,19.44,18.38,22.47,23.97,20.56,23.91,,
Calc annual,24.31,21.04,19.68,28.57,19.44,18.38,22.47,23.97,20.56,23.91,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
