"PAR STATION, PENILLICK",,,,,,,,,,,,
Grid ref,SX096526,Long,-4.677238,Lat,50.342468,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.60,3.86,,,,,,,,,,
February,6.50,0.25,,,,,,,,,,
March,1.80,3.65,,,,,,,,,,
April,1.84,4.35,,,,,,,,,,
May,1.37,1.15,,,,,,,,,,
June,4.53,1.05,,,,,,,,,,
July,0.90,1.80,,,,,,,,,,
August,2.15,0.90,,,,,,,,,,
September,1.67,3.05,,,,,,,,,,
October,2.12,1.65,,,,,,,,,,
November,4.60,0.90,,,,,,,,,,
December,5.66,5.25,,,,,,,,,,
Total,38.74,27.86,,,,,,,,,,
Calc annual,38.74,27.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
