"ALVIE MANSE",,,,,,,,,,,,
Grid ref,NH863093,Long,-3.881486,Lat,57.160428,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.40,2.07,2.41,5.63,2.01,1.84,3.82,2.65,2.06,3.52,,
February,1.40,1.20,0.82,4.20,1.34,2.69,1.92,2.53,3.20,1.06,,
March,1.50,1.09,1.84,4.11,1.22,3.43,2.84,2.03,4.55,2.19,,
April,2.79,1.69,1.30,1.75,2.96,2.19,2.21,1.67,2.52,1.95,,
May,2.38,1.40,3.37,2.02,3.67,2.01,4.66,1.69,1.45,2.54,,
June,2.52,3.63,1.95,2.10,1.42,0.95,0.88,3.27,1.94,1.07,,
July,3.01,1.37,2.27,3.81,1.04,1.35,1.93,1.72,2.49,3.90,,
August,3.98,3.05,3.26,4.03,3.67,3.37,4.67,3.06,1.88,2.33,,
September,3.68,0.78,1.65,2.88,2.43,1.92,1.83,0.86,3.82,2.13,,
October,4.12,2.84,2.98,4.38,1.83,4.18,4.98,3.52,0.30,4.47,,
November,2.48,4.20,0.63,3.50,1.68,3.33,6.26,1.98,3.27,1.66,,
December,5.21,3.42,3.40,0.40,4.13,1.61,2.65,1.84,1.36,1.79,,
Total,36.47,26.74,25.88,38.81,27.40,28.87,38.65,26.82,28.84,28.61,,
Calc annual,36.47,26.74,25.88,38.81,27.40,28.87,38.65,26.82,28.84,28.61,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
