"CLEATOR MOOR WATER WORKS",,,,,,,,,,,,
Grid ref,NY030133,Long,-3.499534,Lat,54.505701,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.63,2.77,,6.76,7.04,2.28,5.98,1.64,6.70,3.41,,
February,5.08,2.50,,5.26,4.07,2.72,3.76,2.06,2.16,3.11,,
March,0.57,2.25,,8.77,5.71,6.41,2.54,5.29,3.61,4.56,,
April,3.03,5.12,,1.94,4.53,4.90,2.26,5.23,2.21,4.68,,
May,4.27,2.42,,3.11,3.08,5.56,8.32,5.65,3.71,3.34,,
June,3.85,3.84,,3.50,2.00,3.26,2.34,8.51,3.57,4.10,,
July,2.90,0.95,,7.59,3.71,3.01,3.15,2.59,5.24,8.64,,
August,8.69,6.81,,6.19,6.22,4.53,6.81,6.43,5.47,4.32,,
September,5.33,3.73,,8.36,5.24,3.57,1.60,1.98,7.91,2.40,,
October,5.68,9.12,,13.20,4.81,4.10,7.63,9.79,2.23,18.15,,
November,6.45,6.34,,5.24,3.75,5.96,5.05,6.46,5.26,3.08,,
December,9.66,5.43,,4.56,6.73,6.48,3.40,10.06,5.47,11.10,,
Total,62.14,51.28,,74.48,56.89,52.78,52.84,65.69,53.54,70.89,,
Calc annual,62.14,51.28,0.00,74.48,56.89,52.78,52.84,65.69,53.54,70.89,,
Difference,0.00,0.00,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
