"STOKE WAKE RECTORY",,,,,,,,,,,,
Grid ref,ST764065,Long,-2.336662,Lat,50.857526,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,7.14,,,,,,,
February,,,,,6.84,,,,,,,
March,,,,,2.08,,,,,,,
April,,,,,1.42,,,,,,,
May,,,,,3.27,,,,,,,
June,,,,,1.18,,,,,,,
July,,,,,2.77,,,,,,,
August,,,,,3.48,,,,,,,
September,,,,,3.33,,,,,,,
October,,,,9.30,2.33,,,,,,,
November,,,,2.02,1.52,,,,,,,
December,,,,4.72,4.20,,,,,,,
Total,,,,,39.56,,,,,,,
Calc annual,0.00,0.00,0.00,16.04,39.56,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,-0.00,NaN,NaN,NaN,NaN,NaN,,
