"DRUMCONDRA, ST PATRICK'S TRAINING COLLEGE",,,,,,,,,,,,
Grid ref,IO1610036900,Long,-6.256257,Lat,53.369758,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.16,,
February,,,,,,,,1.20,,0.77,,
March,,,,,,,,2.29,,2.78,,
April,,,,,,,,2.42,,3.32,,
May,,,,,,,,3.04,,1.43,,
June,,,,,,,,3.44,,2.18,,
July,,,,,,,,1.46,,2.92,,
August,,,,,,,,2.99,,1.29,,
September,,,,,,,,0.52,,1.60,,
October,,,,,,,,5.01,,2.88,,
November,,,,,,,,,,1.26,,
December,,,,,,,,,,5.64,,
Total,,,,,,,,,,27.23,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.37,0.00,27.23,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
