"GUILDFORD THE GRANGE MANOR",,,,,,,,,,,,
Grid ref,TQ021504,Long,-0.538671,Lat,51.243649,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.11,,,,
February,,,,,,,,1.32,,,,
March,,,,,,,,0.90,,,,
April,,,,,,,,4.29,,,,
May,,,,,,,,1.89,,,,
June,,,,,,,,2.32,,,,
July,,,,,,,,1.46,,,,
August,,,,,,,,2.67,,,,
September,,,,,,,,0.61,,,,
October,,,,,,,,5.05,,,,
November,,,,,,,,2.16,,,,
December,,,,,,,,3.34,,,,
Total,,,,,,,,27.12,,29.24,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.12,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,29.24,,
