"OXFORD (HINKSEY PUMPING STATION)",,,,,,,,,,,,
Grid ref,SP513047,Long,-1.258473,Lat,51.738667,,,,,,,
Station no,1049,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.16,0.66,3.27,0.66,1.67,0.78,,
February,,,,,3.83,0.39,1.43,1.15,0.80,0.45,,
March,,,,,1.10,2.89,1.34,0.86,2.53,2.48,,
April,,,,,0.93,1.55,0.36,1.78,4.29,1.58,,
May,,,,,2.99,1.17,2.06,2.00,1.31,2.16,,
June,,,,,1.08,2.64,2.99,2.32,1.29,3.85,,
July,,,,,2.54,1.13,0.93,3.56,1.97,2.25,,
August,,,,,1.05,3.09,0.94,1.29,2.22,3.68,,
September,,,,,1.61,1.21,1.05,0.79,2.28,2.90,,
October,,,,,1.08,1.03,4.15,5.41,1.17,3.66,,
November,,,,,1.57,2.92,3.33,2.26,1.03,0.77,,
December,,,,,1.82,1.15,1.96,3.89,1.87,3.05,,
Total,,,,,21.76,19.83,23.81,25.97,22.43,27.61,,
Calc annual,0.00,0.00,0.00,0.00,21.76,19.83,23.81,25.97,22.43,27.61,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,-0.00,0.00,,
