"MOUNTRATH CASTLETOWN",,,,,,,,,,,,
Grid ref,IS3420091900,Long,-7.491544,Lat,52.977021,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,2.36,4.03,1.23,3.65,2.61,,
February,,,,,,1.54,2.65,2.26,2.14,0.88,,
March,,,,,,4.44,2.75,2.98,3.22,2.67,,
April,,,,,,2.42,1.94,2.80,1.80,5.61,,
May,,,,,,0.75,3.92,3.06,2.77,1.96,,
June,,,,,,1.24,1.60,4.06,1.61,1.74,,
July,,,,,,1.63,2.50,2.63,2.15,2.40,,
August,,,,,,4.78,3.00,4.15,4.08,1.34,,
September,,,,,,1.59,1.37,1.36,7.14,2.87,,
October,,,,,,0.91,4.76,5.22,2.09,5.00,,
November,,,,,,2.23,1.73,3.49,2.75,2.30,,
December,,,,,,1.54,3.61,3.74,3.70,3.90,,
Total,,,,,,25.43,33.86,36.98,37.10,33.28,,
Calc annual,0.00,0.00,0.00,0.00,0.00,25.43,33.86,36.98,37.10,33.28,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,-0.00,0.00,,
