"BLACKBURN PUMPING STATION",,,,,,,,,,,,
Grid ref,SD6967826496,Long,-2.461122,Lat,53.733966,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.58,4.85,3.90,3.69,2.19,5.10,1.81,3.83,2.65,,
February,,2.00,1.74,3.87,4.44,2.48,3.98,2.26,3.74,2.02,,
March,,3.67,3.69,4.81,2.96,2.59,3.67,3.89,3.35,2.71,,
April,,2.22,2.62,2.60,3.08,3.58,1.86,2.06,2.09,4.06,,
May,,0.86,3.43,2.90,2.58,0.60,4.06,3.80,2.96,2.71,,
June,,1.90,1.39,1.54,1.76,2.71,1.77,7.92,2.09,2.89,,
July,,1.78,4.03,3.41,1.81,3.30,2.90,2.96,3.84,6.89,,
August,,2.46,3.14,5.82,4.21,3.53,4.22,4.78,4.40,3.25,,
September,,1.10,2.08,5.52,1.09,3.42,1.39,1.39,4.88,2.73,,
October,,3.89,5.30,9.15,2.85,4.00,6.61,3.30,1.44,5.83,,
November,,6.98,2.11,3.87,3.50,5.46,4.20,2.53,3.99,1.95,,
December,,4.39,4.38,3.03,2.91,0.87,4.79,4.43,2.62,6.72,,
Total,,33.83,38.76,50.42,34.88,34.73,44.55,41.13,39.23,44.41,,
Calc annual,0.00,33.83,38.76,50.42,34.88,34.73,44.55,41.13,39.23,44.41,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
